time,x,y,z
4.2500024,3.4417474,1.5489975,16.936438
4.2600026,3.8928535,1.5489975,15.681188
4.270003,4.353766,1.5489975,14.09251
4.280003,4.7460318,1.6078373,12.5920925
4.2900033,5.0696516,1.6274507,11.317228
4.3000035,5.344238,1.6274507,10.179657
4.3100038,5.412884,1.6274507,9.100925
4.320004,5.4324975,1.6274507,8.159487
4.330004,5.4030776,1.6274507,7.296501
4.3400044,5.079458,1.6960973,6.5021625
4.3500047,4.7950654,1.7745504,5.9235697
4.360005,4.5106726,2.06875,5.678404
4.370005,4.3929925,2.12759,5.6489835
4.3800054,3.99092,2.2060432,5.6587906
4.3900056,3.6967204,2.2256565,5.7470503
4.400006,3.4123275,2.2256565,6.0510564
4.410006,3.1573546,2.2060432,6.119703
4.4200063,2.9121885,2.1373966,6.139316
4.4300065,2.6179888,2.03933,6.1589293
4.4400067,2.3728228,1.9706835,6.139316
4.450007,2.2845628,1.9510702,6.031443
4.460007,2.0492032,1.9510702,6.01183
4.4700074,2.0197833,1.9706835,6.01183
4.4800076,2.0197833,2.2060432,6.0804763
4.490008,2.0197833,2.264883,6.3550625
4.500008,2.00017,2.3237228,6.443322
4.5100083,2.00017,2.4119828,6.698295
4.5200086,2.0197833,2.7061822,6.9434614
4.530009,2.1178498,2.7846355,7.2180476
4.540009,2.3826294,3.049415,7.5024405
4.5500093,2.4905024,3.0690284,7.97316
4.5600095,2.784702,3.078835,8.59098
4.5700097,2.8435419,3.078835,9.061699
4.58001,2.8435419,3.078835,9.512804
4.59001,2.8435419,3.078835,9.885457
4.6000104,2.8435419,3.0984483,10.130623
4.6100106,2.814122,3.1769016,10.238497
4.620011,2.725862,3.2357414,10.336563
4.630011,2.6964421,3.2357414,10.336563
4.6400113,2.6964421,3.2553546,10.336563
4.6500115,2.7650886,3.3534212,10.248303
4.660012,3.1769679,3.4416811,9.983523
4.670012,3.4711676,3.500521,9.87565
4.680012,3.7849803,3.5887809,9.87565
4.6900125,4.1674395,3.892787,10.37579
4.7000127,4.520479,3.9614336,11.130901
4.710013,4.5989323,3.9614336,11.935047
4.720013,4.608739,3.892787,12.670546
4.7300134,4.579319,3.5789742,13.307978
4.7400136,4.2556996,3.3141947,13.661017
4.750014,3.9811134,3.0199952,13.7394705
4.760014,3.677107,2.9513485,13.484498
4.7700143,3.5594273,2.9219286,12.748999
4.7800145,3.2946477,2.9219286,11.807561
4.7900147,3.206388,2.9023154,10.875929
4.800015,3.1083214,2.8728955,10.05217
4.810015,3.0396748,2.853282,9.346091
4.8200154,3.0200615,2.823862,8.875372
4.8300157,3.0887082,2.8336687,8.473299
4.840016,3.1867747,2.9023154,8.443879
